Your task is to predict the next location for an individual based on this individual's mobility trajectory.
Each record: day_of_week, time, location_id

=== Mobility History ===
Tuesday, 05:00, 250214412041
Tuesday, 05:15, 250214412041
Tuesday, 05:30, 250214412041
Tuesday, 05:45, 250214412041
Tuesday, 06:00, 250214412041
Tuesday, 06:15, 250214412041
Tuesday, 06:30, 250214412041
Tuesday, 06:45, 250214412041
Tuesday, 07:00, 250214412041
Tuesday, 07:15, 250214412041
Tuesday, 07:30, 250214412041
Tuesday, 07:45, 250214412041
Tuesday, 08:00, 250214412041
Tuesday, 08:15, 250214412041
Tuesday, 08:30, 250214412041
Tuesday, 08:45, 250214412041
Tuesday, 09:00, 250214412041
Tuesday, 09:15, 250214412041
Tuesday, 09:30, 250214412041
Tuesday, 09:45, 250214412041
Tuesday, 10:00, 250214412041
Tuesday, 10:15, 250214412041
Tuesday, 10:30, 250214412041
Tuesday, 10:45, 250214412041
Tuesday, 11:00, 250214412041
Tuesday, 11:15, 250214412041
Tuesday, 11:30, 250214412041
Tuesday, 11:45, 250214412041
Tuesday, 12:00, 250214412041
Tuesday, 12:15, 250214412041
Tuesday, 12:30, 250214412041
Tuesday, 12:45, 250214412041
Tuesday, 13:00, 250214412041
Tuesday, 13:15, 250214412041
Tuesday, 13:30, 250214412041
Tuesday, 13:45, 250214412041
Tuesday, 14:00, 250214412041
Tuesday, 14:15, 250214412041
Tuesday, 14:30, 250214412041
Tuesday, 14:45, 250214412041
Tuesday, 15:00, 250214412041
Tuesday, 15:15, 250214412041
Tuesday, 15:30, 250214412041
Tuesday, 15:45, 250214412041
Tuesday, 16:00, 250214412041
Tuesday, 16:15, 250214412041
Tuesday, 16:30, 250214412041
Tuesday, 16:45, 250214412041
Tuesday, 17:00, 250214412041
Tuesday, 17:15, 250214412041
Tuesday, 17:30, 250214412041
Tuesday, 17:45, 250214412041
Tuesday, 18:00, 250214412041
Tuesday, 18:15, 250214412041
Tuesday, 18:30, 250214412041
Tuesday, 18:45, 250214412041
Tuesday, 19:00, 250214412041
Tuesday, 19:15, 250214412041
Tuesday, 19:30, 250214412041
Tuesday, 19:45, 250214412041
Tuesday, 20:00, 250214412041
Tuesday, 20:15, 250214421014
Tuesday, 20:30, 250214412041
Tuesday, 20:45, 250214412041
Tuesday, 21:00, 250214412041
Tuesday, 21:15, 250214412041
Tuesday, 21:30, 250214412041
Tuesday, 21:45, 250214412041
Tuesday, 22:00, 250214412041
Tuesday, 22:15, 250214412041
Tuesday, 22:30, 250214412041
Tuesday, 22:45, 250214412041
Tuesday, 23:00, 250214412041
Tuesday, 23:15, 250214412041
Tuesday, 23:30, 250214412041
Tuesday, 23:45, 250214412041
Tuesday, 05:00, 250214412041
Tuesday, 05:15, 250214412041
Tuesday, 05:30, 250214412041
Tuesday, 05:45, 250214412041
Tuesday, 06:00, 250214412041
Tuesday, 06:15, 250214412041
Tuesday, 06:30, 250214412041
Tuesday, 06:45, 250214412041
Tuesday, 07:00, 250214412041
Tuesday, 07:15, 250214412041
Tuesday, 07:30, 250214412041
Tuesday, 07:45, 250214412041
Tuesday, 08:00, 250214412041
Tuesday, 08:15, 250214412041
Tuesday, 08:30, 250214412041
Tuesday, 08:45, 250214412041
Tuesday, 09:00, 250214412041
Tuesday, 09:15, 250214412041
Tuesday, 09:30, 250214412041
Tuesday, 09:45, 250214412041
Tuesday, 10:00, 250214412041
Tuesday, 10:15, 250214412041
Tuesday, 10:30, 250214412041
Tuesday, 10:45, 250214412041
Tuesday, 11:00, 250214412041
Tuesday, 11:15, 250214412041
Tuesday, 11:30, 250214412041
Tuesday, 11:45, 250214412041
Tuesday, 12:00, 250214412041
Tuesday, 12:15, 250214412041
Tuesday, 12:30, 250214412041
Tuesday, 12:45, 250214412041
Tuesday, 13:00, 250214412041
Tuesday, 13:15, 250214412041
Tuesday, 13:30, 250214412041
Tuesday, 13:45, 250214412041
Tuesday, 14:00, 250214412041
Tuesday, 14:15, 250214412041
Tuesday, 14:30, 250214412041
Tuesday, 14:45, 250214412041
Tuesday, 15:00, 250214412041
Tuesday, 15:15, 250214412041
Tuesday, 15:30, 250214412041
Tuesday, 15:45, 250214412041
Tuesday, 16:00, 250214412041
Tuesday, 16:15, 250214412041
Tuesday, 16:30, 250214412041
Tuesday, 16:45, 250214412041
Tuesday, 17:00, 250214412041
Tuesday, 17:15, 250214412041
Tuesday, 17:30, 250214412041
Tuesday, 17:45, 250214412041
Tuesday, 18:00, 250214412041
Tuesday, 18:15, 250214412041
Tuesday, 18:30, 250277442003
Tuesday, 18:45, 250277612001
Tuesday, 19:00, 250173201031
Tuesday, 19:15, 250214421022
Tuesday, 19:30, 250214421022
Tuesday, 19:45, 250214421022
Tuesday, 20:00, 250214421014
Tuesday, 20:15, 250214421014
Tuesday, 20:30, 250214412041
Tuesday, 20:45, 250214412041
Tuesday, 21:00, 250214412041
Tuesday, 21:15, 250214412041
Tuesday, 21:30, 250214412041
Tuesday, 21:45, 250214412041
Tuesday, 22:00, 250214412041
Tuesday, 22:15, 250214412041
Tuesday, 22:30, 250214412041
Tuesday, 22:45, 250214412041
Tuesday, 23:00, 250214412041
